decision	volume	unresolved_hits	validator_hits	applied_hits	score	rewrite_class	has_translit_cue	german_risk	from_token	to_token
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	chuñń	chuṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	d'añ	d'aṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	dBañ-phyug-grags	dBaṅ-phyug-grags
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	dbyañ	dbyaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	de'añ	de'aṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	deañ	deaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	dera-Iha	dera-lha
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	dgañ	dgaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	dgoñńs	dgoṅńs
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	diñs	diṅs
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	duñ	duṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	g$	gś
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	gDan-druñ	gDan-druṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	gDuñ	gDuṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	gIsañ-ma	glsaṅ-ma
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	gTsañ-ma	gTsaṅ-ma
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	gYu-Iha	gYu-lha
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	gañń	gaṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	gduñń	gduṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	gnañń	gnaṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	gsiñ	gsiṅ
hold	wts_35_51	1	2	1	3	safe_char_map	1	0	gsuñń	gsuṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	gtsañ-gtsañ	gtsaṅ-gtsaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	guñń	guṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	gyañ	gyaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	jañ	jaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	khañń	khaṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	khyuñ	khyuṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	kyañń	kyaṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	l'spoñń	l'spoṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	lcañ	lcaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	ljañ	ljaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	ljañ-gu	ljaṅ-gu
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	ljoñs	ljoṅs
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	loñń	loṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	luñń	luṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	mtshañ	mtshaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	mtshañń	mtshaṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	myoñ	myoṅ
hold	wts_35_51	1	2	1	3	safe_char_map	1	0	na'añ	na'aṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	nan-Iha	nan-lha
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	neañ	neaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	pa'Irdzon	pa'lrdzon
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	pa'añ	pa'aṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	piñ	piṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	rTsañ-bod	rTsaṅ-bod
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	rkañń	rkaṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	rlañs	rlaṅs
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	rmañ	rmaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	ruñ	ruṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	sKyed-Ihas	sKyed-lhas
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	sMan-Iha	sMan-lha
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	sNar-thañ	sNar-thaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	sToñ	sToṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	sdiñ	sdiṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	sloñ	sloṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	soñ	soṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	spañń	spaṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	sriñ-gcig	sriṅ-gcig
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	steñs	steṅs
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	tIhu	tlhu
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	thuñń	thuṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	tiñ	tiṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	tseñ	tseṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	tshañń	tshaṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	yañs	yaṅs
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	yañń	yaṅń
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	yuñ	yuṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	zañ	zaṅ
hold	wts_35_51	1	1	0	3	safe_char_map	1	0	ñg	ṅg
hold	wts_35_51	1	1	0	2	safe_char_map	0	0	DDInG	DDlnG
hold	wts_35_51	1	1	0	2	safe_char_map	0	0	EvERDING	EvERDlNG
hold	wts_35_51	1	1	0	2	safe_char_map	0	0	I''dons	l''dons
hold	wts_35_51	1	1	0	2	safe_char_map	0	0	Ia	la
hold	wts_35_51	1	1	0	2	safe_char_map	0	0	Ichs'	lchs'
hold	wts_35_51	1	1	0	2	safe_char_map	0	0	Irdo'i	lrdo'i
hold	wts_35_51	1	1	0	2	safe_char_map	0	0	Irgyu'i	lrgyu'i
hold	wts_35_51	1	1	0	2	safe_char_map	0	0	NI'i	Nl'i
hold	wts_35_51	1	1	0	2	safe_char_map	0	0	Sin-pa'i-Itens	Sin-pa'i-ltens
hold	wts_35_51	1	1	0	2	safe_char_map	0	0	bIng	blng
hold	wts_35_51	1	1	0	2	safe_char_map	0	0	dGa'-Ian	dGa'-lan
hold	wts_35_51	1	1	0	2	safe_char_map	0	0	dGa'-Id	dGa'-ld
hold	wts_35_51	1	1	0	2	safe_char_map	0	0	m'Isho-rgyal	m'lsho-rgyal
hold	wts_35_51	1	1	0	2	safe_char_map	0	0	mIshur	mlshur
hold	wts_35_51	1	1	0	2	safe_char_map	0	0	mTIshur-ston	mTlshur-ston
hold	wts_35_51	1	1	0	2	safe_char_map	0	0	rIsan-rhya'	rlsan-rhya'
hold	wts_35_51	1	1	0	1	safe_char_map	0	0	I'	l'
hold	wts_35_51	1	1	0	1	safe_char_map	0	0	SKYA'I	SKYA'l
hold	wts_35_51	1	1	0	1	safe_char_map	0	0	VIST'	VlST'
hold	wts_35_51	1	1	0	0	length_change	1	0	GS$-H	GŚ-H
