page	line	entry_id	zone	headword_tibetan	headword_latin	headword_latin_confidence	translit_token_count	german_token_count	audit_candidates	audit_replaced	line_text
1	50	4	headword_line	ད་འོང་	oṅ	high	3	1	0	0	ད་འོང་ drod 'oṅ auch drod 'oṅs, drod 'oṅs dus
1	51	4	german_prose			none	0	7	0	0	1. Bez. für die heiße Jahreszeit, vgl. Schun
1	52	4	other			none	0	0	0	0	2012: 1421.
1	53	4	german_prose_with_translit			none	1	3	0	0	"Lex. drod 'ons = usnāgama ""Ankunft der"
1	54	4	german_prose			none	0	5	0	0	"Hitze, die heiße Jahreszeit"" (Ak 33.122);"
1	55	4	latin_other			none	2	0	0	0	drod 'ons dus = sos ka'i dus (brDa); drod 'ons
1	56	4	german_prose_with_translit			none	1	1	0	0	dus =sos ka (Dagy).
1	57	4	german_prose_with_translit			none	1	2	0	0	2. Bez. für Frühling.
1	58	4	german_prose_with_translit			none	1	2	0	0	Lex. drod 'ons dus = dpyid (Dagy).
1	59	4	german_prose			none	0	3	0	0	Lex. usmahänih (Mvy 6455).
1	60	4	german_prose_with_translit			none	6	1	0	0	"bcom ldan ""das kyis ... mdzes pa ñid daṅ / ~'"
1	61	4	german_prose_with_translit			none	2	3	0	0	"bsnags pa brjod nas ""der Erhabene lobte die"
1	62	4	german_prose			none	0	3	0	0	"Schönheit und Mäßigkeit"" (] 3 cha 5922)."
1	63	4	german_prose_with_translit			none	3	4	0	0	"Lex. ~am tshod śes pa zmätrajiiah ""das rech-"
1	64	4	german_prose			none	0	3	0	0	"te Maß [beim Essen] kennend"" (Mvy 2393)."
1	65	4	german_prose_with_translit			none	4	2	0	0	"Lex. drod las byun ba'i rlañs pa ""aus Wärme"
1	66	4	german_prose_with_translit			none	1	2	0	0	"entstandener Dunst"" (Dagy)."
1	67	4	german_prose_with_translit			none	4	1	0	0	Lex. drod mi śes = ran tshod mi śes pa laan
1	68	4	german_prose			none	0	4	0	0	"""auch für: die eigene Grenze nicht kennen"""
1	69	4	german_prose_with_translit			none	1	2	0	0	(brDa, ähnl. Dagy).
2	1	4	tibetan_only	༨ ༡༤		none	0	0	0	0	༨ ༡༤
2	2	5	headword_line	དྲོད་གཤེར་	gśer	high	1	0	0	0	དྲོད་གཤེར་ drod gśer
2	3	5	tibetan_only	དྲོད་གཤེར་		none	0	3	0	0	དྲོད་གཤེར་ drod gser Warmes und Feuchtes; —
2	4	5	german_prose			none	0	3	0	0	skyes aus Warmem und Feuchtem
2	5	5	other			none	0	0	0	0	geboren.
2	6	5	latin_other			none	2	0	0	0	"~ ldan dus sa bon gdab (metr.) ""wenn es"
2	7	5	german_prose			none	0	5	0	0	warm und feucht ist, muß man die Saat aus-
2	8	5	german_prose			none	0	1	0	0	"streuen"" (T4330 11367); sgon skyes mnal"
2	9	5	latin_other			none	6	0	0	0	nas skyes pa dan / — dan ni rdzus skyes
2	10	5	german_prose			none	0	3	0	0	"?774/775 (metr.) ""aus dem Ei Geborene, aus"
2	11	5	german_prose			none	0	6	0	0	dem Mutterleib Geborene, in Warmem und
2	12	5	german_prose			none	0	3	0	0	Feuchtem Geborene (skt. samsveda) und
2	13	5	german_prose			none	0	2	0	0	"spontan Geborene"" (Samv 2.2d); srin bu 'bu"
2	14	5	latin_other			none	6	0	0	0	dan phye ma leb / ña la sogs pa ~ skyes (metr.)
2	15	5	german_prose_with_translit			none	1	4	0	0	"""Würmer, Insekten, Schmetterlinge und Fi-"
2	16	5	german_prose			none	0	4	0	0	sche usw. sind aus Warmem und Feuchtem
2	17	5	german_prose			none	0	1	0	0	"geboren (skt. svedaja)"" (Samv 2.4b)."
2	18	5	tibetan_only	༨ ༤༨		none	0	0	0	0	༨ ༤༨ ⁄.
2	19	6	headword_line	དྲོད་གཤེར་ལས་སྐྱེ་བ་	las skye ba	medium	3	0	0	0	"དྲོད་གཤེར་ལས་སྐྱེ་བ་ ddrod las skye ba ""aus"
2	20	6	german_prose			none	0	3	0	0	Warmem und Feuchtem ge-
2	21	6	german_prose_with_translit			none	1	4	0	0	"boren werdend'"", eine der vier Arten, auf die"
2	22	6	german_prose_with_translit			none	3	2	0	0	Lebewesen entstehen, vgl. Tskye gnas bźi.
2	23	6	german_prose			none	0	2	0	0	Lex. samsvedajah (Mvy 2281).
2	24	7	headword_line	དྲོད་གསུམ་	wārmenden	high	1	1	0	0	དྲོད་གསུམ་ drod gsum die drei wārmenden
2	25	7	german_prose			none	0	1	0	0	~` Heilmittel.
2	26	7	german_prose_with_translit			none	4	1	0	0	Lex. 72 ti sukmel ka ko la / — bzaṅ po gsum
2	27	7	german_prose_with_translit			none	1	5	0	0	"Zes bya ""Nelke, Kardamom und Käkoli hei-"
2	28	7	german_prose			none	0	4	0	0	"ßen die drei guten wärmenden Heilmittel"""
2	29	7	other			none	0	0	0	0	(gYu 290,9).
2	30	7	tibetan_only	དྲོན་		none	0	1	0	0	དྲོན་ dron warm, heiß.
2	31	7	german_prose_with_translit			none	4	1	0	0	'bras chan dan zan — la sogs pa Zal zas rgya
2	32	7	german_prose_with_translit			none	3	1	0	0	"chen po dag kyaṅ gsol bar mdzad ""er nahm"
2	33	7	german_prose_with_translit			none	1	3	0	0	[nach sechsjähriger Askese] angefangen mit
2	34	7	german_prose			none	0	5	0	0	Reisbrei und warmen Speisen auch reichlich
2	35	7	german_prose_with_translit			none	1	3	0	0	"Essen zu sich"" (Prav 78,22); zan — khens"
2	36	7	german_prose_with_translit			none	3	1	0	0	pa spyod byed pa / ji Itar yons su mi gdun
2	37	7	german_prose_with_translit			none	2	1	0	0	"ñam (metr.) ""schmerzt es dich nicht, daß du"
2	38	7	german_prose			none	0	2	0	0	nun schwerverdaulichen, warmen Mehlbrei
2	39	7	german_prose_with_translit			none	3	2	0	0	"genießt?"" (Udr 19,26); chu — gyis ni lus kyi"
2	40	7	latin_other			none	2	0	0	0	smad / blugs sin berus pa (r. pas?) stobs bskyed
2	41	7	german_prose_with_translit			none	1	3	0	0	"yin (metr.) ""begießt man den Unterkörper"
2	42	7	german_prose_with_translit			none	1	5	0	0	mit warmem Wasser und wäscht ihn, so kräf-
2	43	7	german_prose_with_translit			none	1	2	0	0	"tigt das"" (Ahs 1.2.16c); phye mar byas / chu"
2	44	7	other			none	0	0	0	0	zen
2	45	7	tibetan_only	དྲོན་མོ་		none	0	0	0	0	དྲོན་མོ་ dron mo
2	46	7	german_prose_with_translit			none	3	1	0	0	"— btab 'thuns sna tshogs ... Joms (metr.) ""pul-"
2	47	7	german_prose			none	0	4	0	0	verisiert, in heißes Wasser gegeben und ge-
2	48	7	german_prose_with_translit			none	1	1	0	0	"trunken, besiegt es Verschiedenes"" (Yś 236);"
2	49	7	german_prose_with_translit			none	3	2	0	0	"broń ru ~ cig tu beng ""sie steckte es in das"
2	50	7	german_prose			none	0	4	0	0	"warme Horn eines wilden Yaks"" (Glr 48,7);"
2	51	7	latin_other			none	3	0	0	0	"dur 09 chu — rdol ba daṅ (metr.) ""unter-"
2	52	7	german_prose			none	0	3	0	0	halb einer Leichenstätte quillt warmes Was-
2	53	7	german_prose			none	0	1	0	0	"ser"" (Vdk 2: 344,4)."
2	54	7	tibetan_only	དྲོན་འཇུག་		none	0	1	0	0	དྲོན་འཇུག་ dron 'jug verleumden, intrigieren.
2	55	7	german_prose_with_translit			none	4	2	0	0	"Lex. rdzus te 7//9 pa'am thabs kyis 'jug ""täu-"
2	56	7	german_prose_with_translit			none	2	3	0	0	"schen oder irreführen"" (brDa); brazus te Jung"
2	57	7	german_prose_with_translit			none	4	1	0	0	pa'am thabs kyis jug pa (Dagy).
2	58	8	headword_line	དྲོན་པོ་	po	medium	1	1	0	0	དྲོན་པོ་ dron po warm, heiß.
2	59	8	latin_other			none	7	0	0	0	dir gan śa sar pa dan khrag — yod na de ni ...
2	60	8	german_prose_with_translit			none	3	1	0	0	"seṅ ge mams kyi zas yin no ""was es hier an fri-"
2	61	8	german_prose			none	0	5	0	0	schem Fleisch und warmem Blut gibt, das ist
2	62	8	german_prose_with_translit			none	2	4	0	0	"die Nahrung für Löwen"" (Suv 157,24); khan"
2	63	8	german_prose_with_translit			none	5	2	0	0	"pa —""am I ri ma isha ba la 'dug cin ""man sitzt"
2	64	8	german_prose			none	0	7	0	0	in einem warmen Haus oder in der heißen
2	65	8	german_prose_with_translit			none	2	1	0	0	"Sonne"" (Siddh 12.29); khyim —r lus mes bsro"
2	66	8	german_prose_with_translit			none	1	6	0	0	"ba ""in einem warmen Haus den Körper am"
2	67	8	german_prose_with_translit			none	1	2	0	0	"Feuer wärmen"" (Siddh 30.2/442,9); chu ~s"
2	68	8	german_prose_with_translit			none	2	2	0	0	"khrus byas la ""man bade mit warmem Was-"
2	69	8	latin_other			none	5	0	0	0	"ser"" (Siddh 30.49); khrag — kha nas skyng cin"
2	70	8	german_prose_with_translit			none	1	3	0	0	"'chi bar 'gyur ba ""warmes Blut aus dem Mund"
2	71	8	german_prose			none	0	2	0	0	"speien und sterben"" (K12 103al)."
2	72	8	german_prose_with_translit			none	3	1	0	0	"Lex. chu tsha po'am dron 'jam lta bu ""wie:"
2	73	8	german_prose_with_translit			none	1	4	0	0	"heißes Wasser oder mäßig warm"" (brDa)."
2	74	8	other			none	0	0	0	0	u.
2	75	9	headword_line	དྲན་མ་	ma	medium	1	0	0	0	དྲན་མ་ dron ma.
2	76	9	german_prose			none	0	1	0	0	1. lauwarm (Goldstein).
2	77	9	german_prose			none	0	1	0	0	2. ansprechend, gefällig.
2	78	9	german_prose_with_translit			none	3	1	0	0	"Lex. yi (digar oṅ ba ""ansprechend"" (brDa,"
2	79	9	german_prose			none	0	1	0	0	Dagy).
2	80	9	tibetan_only	དྲོན་མོ་		none	0	0	0	0	དྲོན་མོ་ dron mo warm.
2	81	9	latin_other			none	5	0	0	0	galte re siggran ba'i dus yin na ni chu —skhrus
2	82	9	german_prose_with_translit			none	1	2	0	0	"byed du gäug go ""wenn es cinmal die kalte"
2	83	9	german_prose			none	0	4	0	0	Jahreszeit ist, lasse man mit warmem Was-
2	84	9	german_prose_with_translit			none	1	1	0	0	"ser baden"" (Prav 132,12); kru trug tres dan ..."
2	85	9	latin_other			none	5	0	0	0	skol ba'i khu ba — ... bad kan las gur pa'
3	1	10	headword_line	དྲོན་ཤ་	Sa	medium	1	0	0	0	དྲོན་ཤ་ dron Sa
3	2	10	german_prose_with_translit			none	2	2	0	0	"""khru ba sel to ""der warme Sud aus gekoch-"
3	3	10	german_prose			none	0	2	0	0	ter Bleiwurz [u.a.] beseitigt durch Schleim
3	4	10	german_prose_with_translit			none	2	1	0	0	"verursachte Diarrhöe"" (Siddh 6.40); sku 'gag"
3	5	10	latin_other			none	5	0	0	0	geig bes 'dug pa de phud nas / 'di ~ la snam
3	6	10	german_prose_with_translit			none	2	1	0	0	"mdzod gsuns nas ""er zog sein Unterhemd"
3	7	10	german_prose			none	0	3	0	0	aus, das er gerade trug, und sagte: 'Zieh es
3	8	10	german_prose			none	0	2	0	0	"an, damit dir warm wird!"" (Doll 24,22)."
3	9	10	german_prose_with_translit			none	2	3	0	0	"Lex. tsha ba'i don ""i.S.v. warm"" (Dagy)."
3	10	11	headword_line	དྲོན་ཤ་	Sa	medium	1	0	0	0	དྲོན་ཤ་ dron Sa.
3	11	11	german_prose			none	0	4	0	0	1. Fleisch eines frisch geschlachteten Tieres.
3	12	11	german_prose_with_translit			none	1	4	0	0	"Lex. ///5 kyi — ""warmes Fleisch eines Kör-"
3	13	11	german_prose_with_translit			none	1	1	0	0	"pers"" (brDa, Dagy)."
3	14	11	german_prose			none	0	4	0	0	2. ein berauschendes Getränk aus dem Saft
3	15	11	german_prose			none	0	2	0	0	des Zuckerrohrs.
3	16	11	german_prose_with_translit			none	1	2	0	0	Lex. dron śa (v.l. 70) = pakvarasah (Mvy
3	17	11	other			none	0	0	0	0	5716).
3	18	11	tibetan_only	༨༧༧		none	0	0	0	0	༨༧༧ . ° .
3	19	11	tibetan_only	དྲོལ་		none	0	2	0	0	དྲོལ་ drol imp. zu }'dral zerreißen, zerschnei-
3	20	11	german_prose			none	0	1	0	0	den, zerteilen.
3	21	11	german_prose_with_translit			none	4	1	0	0	"mtsho 'di — Zig ces bka' stsal nas ""zerteilt"
3	22	11	german_prose			none	0	1	0	0	"diesen See!"" nachdem er dies befohlen hatte"""
3	23	11	german_prose			none	0	1	0	0	(Liyl 173b7).
3	24	11	german_prose_with_translit			none	2	1	0	0	"Lex. 'dral bar gyis sig gam ral bar gyis ""rei-"
3	25	11	german_prose_with_translit			none	3	1	0	0	"ße auseinander!"" (brDa); ig pa'am bsig pa'i"
3	26	11	german_prose_with_translit			none	3	1	0	0	"don te 'dral ba'i bskul tshig ""i.S. v. vernichten"
3	27	11	german_prose			none	0	3	0	0	oder vernichtet haben, Imperativ von 'dral
3	28	11	german_prose_with_translit			none	1	1	0	0	"ba"" (Dagy)."
3	29	11	german_prose			none	0	2	0	0	Kar dros pf. zu 1'dro warm werden.
3	30	11	latin_other			none	5	0	0	0	bad kan kho na ... dpyid dus ñi ma'i od
3	31	11	german_prose_with_translit			none	1	4	0	0	"— pa (metr.) ""allein der Schleim, der in"
3	32	11	german_prose_with_translit			none	1	3	0	0	der Frühlingszeit durch die Sonnenstrahlen
3	33	11	german_prose_with_translit			none	2	1	0	0	"warm wird"" (Ahs 1.3.18b); tsbe geig — pa'i"
3	34	11	german_prose_with_translit			none	2	2	0	0	"805 kyati bdag la zu (metr.) ""ich bitte für"
3	35	11	german_prose_with_translit			none	1	4	0	0	mich um warme Kleidung für das eine Le-
3	36	11	german_prose			none	0	1	0	0	"ben"" (Glr 76,23)."
3	37	11	german_prose_with_translit			none	4	2	0	0	"Lex. — pa = tsha bo byas pa ""heiß gemacht"
3	38	11	latin_other			none	5	0	0	0	"(?)"" (brDa); ~ pa = ñi ma sogs tsha bar gyur"
3	39	11	german_prose_with_translit			none	1	3	0	0	"pa ""von der Sonne usw. warm geworden"""
3	40	11	german_prose			none	0	1	0	0	(Dagy).
3	41	12	headword_line	དྲྭ་བ་	ba	medium	2	0	0	0	དྲྭ་བ་ drwa ba tdra ba.
3	42	13	headword_line	དྷརྨ	dharma	high	1	0	0	0	དྷརྨ dharma
3	43	14	headword_line	དྷ་ཏུ་ར་	dhatu ra	high	9	1	0	0	དྷ་ཏུ་ར་ dhatu ra auch dha du ra, dha dbu ra îda po
3	44	14	latin_other			none	2	0	0	0	du ra.
3	45	15	headword_line	དྷ་ན་	dhana	high	1	5	0	0	དྷ་ན་ dhana ein Yaksa im Gefolge des rNam-
3	46	15	german_prose_with_translit			none	2	1	0	0	sras mdun-dmar rta-shon-can (Neb 69f.),
3	47	16	headword_line	དྷ་ན་ཤི་ལ	ddha na śi la na sī la	high	7	0	0	0	དྷ་ན་ཤི་ལ ddha na śi la na sī la.
3	48	16	german_prose_with_translit			none	2	3	0	0	53 : dhanistha Bez. für das Mondhaus mon
3	49	16	german_prose			none	0	2	0	0	gre, vgl. SchuH 2012: 1407.
3	50	17	headword_line	དྷ་ནུ་ཀེ་ཏ་ཀི་	dha	high	2	1	0	0	དྷ་ནུ་ཀེ་ཏ་ཀི་ dha nu ke ta ki cine Blume.
3	51	17	german_prose_with_translit			none	1	3	0	0	Lex. dhannsketaki (Mvy 6175, Abt. me tog
3	52	17	latin_other			none	2	0	0	0	sna tshogs kyi min).
3	53	18	headword_line	དྷ་ནུ་སྐ་རི་	dha	high	1	2	0	0	དྷ་ནུ་སྐ་རི་ dha nu ska ri eine Blume.
3	54	18	german_prose_with_translit			none	4	1	0	0	Lex. dha nu ska (v.l. kā, sa) ri = dhanuskāri
3	55	18	german_prose_with_translit			none	3	2	0	0	(Mvy 6160, Abt. ne tog sa tshogs kyi min).
3	56	19	headword_line	དྷ་ལ་ཧབ་	ddha la	high	3	1	0	0	དྷ་ལ་ཧབ་ ddha la hab ein Kleidungsstück.
3	57	19	german_prose_with_translit			none	3	1	0	0	Lex. stod he zdban rdzas stod lhe'am — lta bu
3	58	19	german_prose			none	0	7	0	0	"Zig ""Obergewand als Requisit bei der Weihe"
3	59	19	german_prose_with_translit			none	2	2	0	0	"oder wie dha la hab (?)"" (Dagy)."
3	60	20	headword_line	དྷ་སུ་	dha su	high	3	4	0	0	དྷ་སུ་ dha su npr. ein Vasall des Königs Phala-
3	61	20	latin_other			none	1	0	0	0	` dha.
3	62	20	latin_other			none	7	0	0	0	de la cha yod pa byas nas / — tshon la son nas
3	63	20	german_prose			none	0	4	0	0	"""als sie ihm den Sachverhalt erklärt hatten,"
3	64	20	german_prose_with_translit			none	2	3	0	0	"ging Dha-su, um Handel zu treiben"" (RunK"
3	65	20	latin_other			none	4	0	0	0	60,15); — na re ... gser sprod rgyn med pa la
3	66	20	german_prose_with_translit			none	2	2	0	0	"""Dha-su sprach: 'da du mir das Gold nicht"
3	67	20	german_prose_with_translit			none	1	2	0	0	"zurückgeben kannst'"" (KunK 60,28)."
3	68	20	german_prose_with_translit			none	1	2	0	0	35 dha ha npr. ein König.
3	69	20	latin_other			none	2	0	0	0	"rgyal po ~i bu lon byin (metr.) ""ich habe sie"
3	70	20	german_prose_with_translit			none	1	4	0	0	schon dem Sohn des Königs Dhanahat gege-
3	71	20	german_prose			none	0	1	0	0	"ben"" (Padm 80b3)."
3	72	20	german_prose_with_translit			none	2	3	0	0	* dharma die buddhistische Lehre, auch
3	73	20	german_prose_with_translit			none	1	4	0	0	Bez. für religiöse Texte, skt. dharma.
3	74	20	latin_other			none	4	0	0	0	ba nde 9707 nu dag — thogs te chos nian pa
3	75	20	german_prose_with_translit			none	4	4	0	0	"mchis na yan ""auch als die jungen Mön-"
3	76	20	german_prose_with_translit			none	1	3	0	0	che den Dharma erhalten hatten und dem
4	1	21	headword_line	དྷརྨ་གྫ་	dharma gañdza	high	2	0	0	0	དྷརྨ་གྫ་ dharma gañdza
4	2	21	german_prose_with_translit			none	1	3	0	0	"Dharmaf[-Vortrag] zuhörten"" (Liyl) 18224;"
4	3	21	latin_other			none	5	0	0	0	mchod pa bgyis te / lha khan bskor —
4	4	21	german_prose_with_translit			none	1	1	0	0	"bklags ""sie brachten Opfer dar, umkreisten"
4	5	21	german_prose_with_translit			none	1	5	0	0	"den Tempel und lasen den Dharma"" (Liyl"
4	6	21	latin_other			none	8	0	0	0	185b5); pha ma gñis kyi kha 'dzin dha(r)ma
4	7	21	german_prose_with_translit			none	1	3	0	0	"ran la bcol bag (metr.) ""überlaß die Verant-"
4	8	21	german_prose_with_translit			none	2	5	0	0	wortung von Vater und Mutter dem Dharma
4	9	21	german_prose			none	0	1	0	0	"selbst"" (KunK 44,15)."
4	10	22	headword_line	རྨ་གྲ	dharma gañdza buddhistische	high	3	1	0	0	རྨ་གྲ dharma gañdza buddhistische Biblio-
4	11	22	latin_other			none	1	0	0	0	SR thek.
4	12	22	latin_other			none	4	0	0	0	dpal nā landra'i ~ ste / gun rab mtha' dag
4	13	22	german_prose_with_translit			none	4	2	0	0	"bäugs pa'i gtsug lag khan ""die buddhistische"
4	14	22	german_prose			none	0	6	0	0	Bibliothek von Sri-Nälanda, ein Kloster, in
4	15	22	german_prose_with_translit			none	1	3	0	0	"dem es alle buddhistischen Texte gab"" (Tär"
4	16	22	german_prose_with_translit			none	4	1	0	0	77,2); u vgyan gyi gnas — Zes bya ba nas ...
4	17	22	latin_other			none	5	0	0	0	0477 rje gśed la sogs pa' rgyud spyan 'dren par
4	18	22	german_prose_with_translit			none	4	3	0	0	"bźed pa la ""als er aus der buddhistischen Bi-"
4	19	22	german_prose_with_translit			none	1	3	0	0	bliothek von Uddiyäna das Yamāntakatantra
4	20	22	german_prose			none	0	1	0	0	"usw. holen wollte"" (Tär 145,13)."
4	21	23	headword_line	དྷརྨ་བལ་	dharmabala	high	1	0	0	0	དྷརྨ་བལ་ dharmabala.
4	22	23	german_prose			none	0	2	0	0	1. npr. ein Arhat.
4	23	23	latin_other			none	8	0	0	0	'phags pa dgra bcom pa — la 'phags pa khyod
4	24	23	latin_other			none	8	0	0	0	la rdzu 'phrul ci ma' ba bdag la bstan par ci
4	25	23	german_prose_with_translit			none	2	3	0	0	"gran Zes gsol ba las ""er bat den edlen Arhat"
4	26	23	german_prose_with_translit			none	2	2	0	0	Dharmabala: 'Edler! Möchtest du mir bitte
4	27	23	german_prose			none	0	2	0	0	zeigen, welche übernatürlichen Fähigkeiten
4	28	23	german_prose_with_translit			none	1	1	0	0	"du hast?"" (Liyl 18353)."
4	29	23	german_prose			none	0	6	0	0	2. npr. eine Arhanti, Tochter des Königs Vi-
4	30	23	other			none	0	0	0	0	jayananda.
4	31	23	latin_other			none	6	0	0	0	rgyal po ... bu mo 'phags ma dgra bcom ma — ;
4	32	23	latin_other			none	6	0	0	0	slad du po yen do'i gtsug lag khan brtsigs te
4	33	23	german_prose			none	0	5	0	0	"""der König errichtete für seine Tochter, die"
4	34	23	german_prose_with_translit			none	1	4	0	0	edle Arhanti Dharmabalā, den Vihära von
4	35	23	german_prose			none	0	2	0	0	"Po-yen-do"" (Liyl 18653)."
4	36	23	german_prose_with_translit			none	5	2	0	0	35 ' dhitika auch dhi dhi ka npr. ein buddh.
4	37	23	german_prose			none	0	1	0	0	Lehrer.
4	38	23	latin_other			none	7	0	0	0	dhi dhi ka dan ... bstan pa'i gtad rabs bdun
4	39	23	german_prose_with_translit			none	1	3	0	0	"""Dhitika [u.a.] sind die sieben Hierarchen"
4	40	23	german_prose_with_translit			none	5	3	0	0	"des Dharma"" (Bu 818,5); des dhi dhi ka la ..."
4	41	23	german_prose_with_translit			none	3	1	0	0	"bstan pa gtad par bśad do ""es wird gesagt, daß"
4	42	23	german_prose_with_translit			none	1	4	0	0	"dieser die Lehre an Dhitika übergeben habe"""
4	43	23	tibetan_only	གདགས་		none	0	0	0	0	གདགས་ 'gdags
4	44	23	german_prose_with_translit			none	3	1	0	0	(Debn 531); rgyal po mya ñan med chun mi
4	45	23	latin_other			none	6	0	0	0	tsbe 'phags pa ~~ ?/ sku tshe'i smad ... skabs yin
4	46	23	german_prose_with_translit			none	2	6	0	0	"Zin ""die Zeit des jungen Königs Aśoka fällt"
4	47	23	german_prose_with_translit			none	2	3	0	0	in die zweite Lebenshālfte des edlen Dhiti-
4	48	23	german_prose_with_translit			none	1	1	0	0	"ka"" (Tär 38,12)."
4	49	23	german_prose_with_translit			none	2	2	0	0	BR dhi de eine Pflanze.
4	50	23	german_prose_with_translit			none	1	1	0	0	Lex. — btsod (gYu 292,3).
4	51	23	latin_other			none	5	0	0	0	BET dhi dhi ka tdhiti ka.
4	52	23	german_prose_with_translit			none	2	2	0	0	Em dhik schlecht, dumm; vgl. aber skt. dhik
4	53	23	other			none	0	0	0	0	pfui!
