volume	page	line	token_index	tibetan_syllable	latin_source	latin_target	tibetan_role	tibetan_feature	latin_realization	structural_unit	evidence_provenance	source_or_target	independence_class	feature_teaching_status	domain	alignment	confidence
wts_1_34	54	214	2	ཚང	tshan	tshaṅ	pre_coda_structural_unit	ཚ	tsha	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	56	115	3	ཆུང	chun	chuṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_script_ng_witness	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	56	115	3	ཆུང	chun	chuṅ	pre_coda_structural_unit	ཆུ	chu	pre_coda_stem	reviewed_tibetan_exact_script_ng_witness	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	56	117	3	ཆུང	chun	chuṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_script_ng_witness	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	56	117	3	ཆུང	chun	chuṅ	pre_coda_structural_unit	ཆུ	chu	pre_coda_stem	reviewed_tibetan_exact_script_ng_witness	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	56	164	3	མང	man	maṅ	suffix_coda			token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	role_unresolved	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	none
wts_1_34	57	207	2	ཡང	yan	yaṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_script_ng_witness	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	57	207	2	ཡང	yan	yaṅ	pre_coda_structural_unit	ཡ	ya	pre_coda_stem	reviewed_tibetan_exact_script_ng_witness	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	59	196	3	གྲོང	gron	groṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	59	196	3	གྲོང	gron	groṅ	pre_coda_structural_unit	གྲོ	gro	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
