volume	page	line	token_index	tibetan_syllable	old_token	current_token	migration_class	context_excerpt
wts_1_34	112	114	3	སྙིང	s	säin	unicode_latin_token_extent_repaired	ཀླུ་སྒྲབ་སྙིང་པོ་ klu sgrub säin po
wts_1_34	112	114	4	པོ		po	new_alignment_requires_review	ཀླུ་སྒྲབ་སྙིང་པོ་ klu sgrub säin po
wts_1_34	114	188	6	རྟེན	N	Nägawelt	unicode_latin_token_extent_repaired	ཀླུ་ཡི་འཇིག་རྟེན་ klu yi 7:9 rten „Nägawelt“, Bez.
wts_1_34	119	50	0	སྤྱོད	is		former_fragment_or_gloss_alignment_removed	དཀའ་གཉིས་སྤྱོད་ dka’ güis spyod
wts_1_34	119	50	2	གཉིས	g	güis	unicode_latin_token_extent_repaired	དཀའ་གཉིས་སྤྱོད་ dka’ güis spyod
wts_1_34	119	50	3	སྤྱོད		spyod	new_alignment_requires_review	དཀའ་གཉིས་སྤྱོད་ dka’ güis spyod
wts_1_34	119	96	0	སྤྱོད	is		former_fragment_or_gloss_alignment_removed	དཀའ་གཉིས་སྤྱོད་ dka’ gäis spyod Name eines ind.
wts_1_34	119	96	2	གཉིས	g	gäis	unicode_latin_token_extent_repaired	དཀའ་གཉིས་སྤྱོད་ dka’ gäis spyod Name eines ind.
wts_1_34	119	96	3	སྤྱོད		spyod	new_alignment_requires_review	དཀའ་གཉིས་སྤྱོད་ dka’ gäis spyod Name eines ind.
wts_1_34	123	143	3	འབབ	Flu	Fluß	unicode_latin_token_extent_repaired	དཀར་འབབ་ dkar 7/ Fluß.
wts_1_34	125	3	0	འགྲོ	an		former_fragment_or_gloss_alignment_removed	དཀར་ལས་གཞན་འགྲོ་བ་ dkar las gäan ’gro ba Bez.
wts_1_34	125	3	3	གཞན	g	gäan	unicode_latin_token_extent_repaired	དཀར་ལས་གཞན་འགྲོ་བ་ dkar las gäan ’gro ba Bez.
wts_1_34	125	3	4	འགྲོ	gro	gro	alignment_change_requires_review	དཀར་ལས་གཞན་འགྲོ་བ་ dkar las gäan ’gro ba Bez.
wts_1_34	125	3	5	བ		ba	new_alignment_requires_review	དཀར་ལས་གཞན་འགྲོ་བ་ dkar las gäan ’gro ba Bez.
wts_1_34	125	7	2	ལུ	wei	weiß	unicode_latin_token_extent_repaired	དཀར་ལུ་ dkar / weiß; vgl. !dkar po.
wts_1_34	126	178	0	དཀོན	dkon		former_fragment_or_gloss_alignment_removed	དཀོན་མཆོག་ ädkon mchog sprin N. eines
wts_1_34	126	178	1	དཀོན		ädkon	newly_visible_unicode_token	དཀོན་མཆོག་ ädkon mchog sprin N. eines
wts_1_34	127	72	2	གཉེར	g	güer	unicode_latin_token_extent_repaired	ཀོན་གཉེར་ dkon güer Verwalter eines Tempels,
wts_1_34	150	129	3	རྩིས	gl	glückbringende	unicode_latin_token_extent_repaired	བཀྲ་རྩིས་ bkra ?7575 glückbringende Kalkulatio-
wts_1_34	155	208	1	རྐ	geh	gehörig	unicode_latin_token_extent_repaired	རྐ gehörig
wts_1_34	168	5	3	ཀྭམཱར	kum	kumära	unicode_latin_token_extent_repaired	སྐ་ཅོག་ཀྭམཱར་ ska cog kumära Tka cog kumära.
wts_1_34	176	15	2	ཡིབ	y	yıb	dotless_i_token_merged_correctly	སྐམ་ཡིབ་ skam yıb dünn, mager.
wts_1_34	176	59	5	དང	W	Wüste	unicode_latin_token_extent_repaired	མ་ས་ཚ་བ།དང་ skam sa tsba gdun Wüste.
wts_1_34	179	133	0	པ	am		former_fragment_or_gloss_alignment_removed	སྐལ་བ་མཉམ་པ་ skal ba müam pa „gleicher Anteil,
wts_1_34	179	133	3	མཉམ	m	müam	unicode_latin_token_extent_repaired	སྐལ་བ་མཉམ་པ་ skal ba müam pa „gleicher Anteil,
wts_1_34	179	133	4	པ		pa	new_alignment_requires_review	སྐལ་བ་མཉམ་པ་ skal ba müam pa „gleicher Anteil,
wts_1_34	180	109	3	མ	gl	glücklich	unicode_latin_token_extent_repaired	སྐལ་བཟང་མ་ skalbzan ma glücklich; vgl. Tskal ba
wts_1_34	183	54	2	བརྙན	br	brüan	unicode_latin_token_extent_repaired	སྐུ་བརྙན་ sku brüan
wts_1_34	188	90	2	རིས	r	rıs	dotless_i_token_merged_correctly	སྐུད་རིས་ skud rıs Stickerei.
wts_1_34	198	94	4	འདང	Flu	Fluß	unicode_latin_token_extent_repaired	སྐྱི་འདང་ $5)/7 ’daṅ Fluß.
wts_1_34	199	107	5	སྡུག	Gl	Glück	unicode_latin_token_extent_repaired	སྐྱིད་སྡུག་ $/75)/77 sdug Glück und Leid, Schicksal,
wts_1_34	207	49	4	གཉིས	g	gäis	unicode_latin_token_extent_repaired	སྐྱེ་མཆེད་བཅུ་གཉིས་ skye mched bcu gäis die zwölf
wts_1_34	207	140	3	བཞི	b	bäi	unicode_latin_token_extent_repaired	སྐྱེ་གནས་བཞི་ skye gnas bäi die vier Arten des Ent-
wts_1_34	222	26	2	བརྙན	br	brüan	unicode_latin_token_extent_repaired	སྐྲ་བརྙན་ skra brüan auch skra brüen Toupet,
wts_1_34	222	96	3	གཞར	e	eın	dotless_i_token_merged_correctly	སྐྲ་གཞར་ skra £227༡༡ eın Stäbchen zur Ohrreini-
wts_1_34	230	140	2	གཞག	g	göag	unicode_latin_token_extent_repaired	བསྐོ་གཞག་ bsko göag Ernennungsbefugnis.
wts_1_34	251	98	2	སྦྱང	sbyani	sbyaṅ	unicode_latin_token_extent_repaired	ཁ་སྦྱང་པ་ kha sbyaṅ pa auch kha byan ba rede-
wts_1_34	257	85	2	མོ	kr	kräftig	unicode_latin_token_extent_repaired	།ཁག་མོ་ khagmo kräftig.
wts_1_34	257	147	2	གཉེར	g	güer	unicode_latin_token_extent_repaired	ཁང་གཉེར་ khaṅ güer Hausverwalter.
wts_1_34	259	207	3	རལ	Nadelbeh	Nadelbehälter	unicode_latin_token_extent_repaired	།ཁབ་རལ་ 5545 ral Nadelbehälter.
wts_1_34	264	31	0	ཉན	an		former_fragment_or_gloss_alignment_removed	།ཁས་ཉན་ khas üan Tkha nan, \khas 77677.
wts_1_34	264	31	2	ཉན		üan	newly_visible_unicode_token	།ཁས་ཉན་ khas üan Tkha nan, \khas 77677.
wts_1_34	264	175	1	ཁཱ	kh	khä	unicode_latin_token_extent_repaired	ཁཱ་ཏ་ khä ta kleine Krähe.
wts_1_34	269	41	0	བ	ger		former_fragment_or_gloss_alignment_removed	ཁུར་རྩ་ལ་བ་ khurrisal ba Lastträger.
wts_1_34	269	41	1	ཁུར	khurrisal		former_alignment_requires_review	ཁུར་རྩ་ལ་བ་ khurrisal ba Lastträger.
wts_1_34	269	41	2	རྩ	ba		former_alignment_requires_review	ཁུར་རྩ་ལ་བ་ khurrisal ba Lastträger.
wts_1_34	269	41	3	ལ	Lasttr		former_alignment_requires_review	ཁུར་རྩ་ལ་བ་ khurrisal ba Lastträger.
wts_1_34	279	48	2	ཁཱ	Kr	Krähe	unicode_latin_token_extent_repaired	ཁཱ་ 1£/‰:¿ Krähe.
wts_1_34	279	142	1	པི	ringsch	ringschätzen	unicode_latin_token_extent_repaired	པི ringschätzen.
wts_1_34	282	11	3	བཐའ	Ausma	Ausmaß	unicode_latin_token_extent_repaired	ཁྱབ་མ་བཐའ་ khyab mtha’ Ausmaß.
wts_1_34	284	60	0	གཉིས	is		former_fragment_or_gloss_alignment_removed	ཀྱིམ་བཅུ་གཉིས་ khyim ༼7€/¢ gäis die 12 Tier-
wts_1_34	284	60	1	ཀྱིམ	khyim		former_alignment_requires_review	ཀྱིམ་བཅུ་གཉིས་ khyim ༼7€/¢ gäis die 12 Tier-
wts_1_34	284	60	3	བཅུ	g		former_alignment_requires_review	ཀྱིམ་བཅུ་གཉིས་ khyim ༼7€/¢ gäis die 12 Tier-
wts_1_34	287	59	6	སྐྱེས	Morgend	Morgendämme	unicode_latin_token_extent_repaired	ཀུང་རྔོན་སྐྱེས་ khyun $7?0/7 skyes Morgendämme-
wts_1_34	295	49	0	ས	an		former_fragment_or_gloss_alignment_removed	ཁྲི་སྙན་ས་ལེ་ khri süan sa le
wts_1_34	295	49	2	སྙན	s	süan	unicode_latin_token_extent_repaired	ཁྲི་སྙན་ས་ལེ་ khri süan sa le
wts_1_34	295	49	3	ས	sa	sa	alignment_change_requires_review	ཁྲི་སྙན་ས་ལེ་ khri süan sa le
wts_1_34	295	49	4	ལེ		le	new_alignment_requires_review	ཁྲི་སྙན་ས་ལེ་ khri süan sa le
wts_1_34	295	89	2	གཉན	g	güan	unicode_latin_token_extent_repaired	ཁྲི་གཉན་ khri güan Bez. für Wild, Antilope.
wts_1_34	295	98	0	ས	an		former_fragment_or_gloss_alignment_removed	ཁྲི་སྙན་ས་ལེ་ khri süan sa le eine schwarzge-
wts_1_34	295	98	2	སྙན	s	süan	unicode_latin_token_extent_repaired	ཁྲི་སྙན་ས་ལེ་ khri süan sa le eine schwarzge-
wts_1_34	295	98	3	ས	sa	sa	alignment_change_requires_review	ཁྲི་སྙན་ས་ལེ་ khri süan sa le eine schwarzge-
wts_1_34	295	98	4	ལེ		le	new_alignment_requires_review	ཁྲི་སྙན་ས་ལེ་ khri süan sa le eine schwarzge-
wts_1_34	301	59	2	གཉེར	g	güer	unicode_latin_token_extent_repaired	ཁྲོ་གཉེར་ khro güer
wts_1_34	305	113	4	སྐྱེས	R	Räksasa	unicode_latin_token_extent_repaired	མ།བའ་འགོ་ སྐྱེས་ mkha’ ’gro skyes Räksasa.
wts_1_34	305	133	4	མ	D	Däkini	unicode_latin_token_extent_repaired	མ།བའ་འགྲོ་མ་ mkha’ ’gro ma Däkini.
wts_1_34	306	69	3	གནས	G	Götterwohnsitz	unicode_latin_token_extent_repaired	མ།ཁའ་གནས་ mkha’ gnas Götterwohnsitz.
wts_1_34	306	72	3	སྣང	Gl	Glühwürmchen	unicode_latin_token_extent_repaired	མ།བའ་སྣང་ mkha’ snarn Glühwürmchen.
wts_1_34	310	66	3	འཕྲིང	Beh	Behälter	unicode_latin_token_extent_repaired	མ།བའ་འཕྲིང་ mkha’ ’phrih Behälter für Holz-
wts_1_34	312	99	3	ཁལས	Baut	Bautätigkeit	unicode_latin_token_extent_repaired	མ།ར་ཁལས་ mkhar las Bautätigkeit, -werk.
wts_1_34	312	109	3	སུང	W	Wächter	unicode_latin_token_extent_repaired	མ།ར་སུང་ mkhar sruh Wächter einer Festung.
wts_1_34	317	147	2	འཁོགས	br	brüllen	unicode_latin_token_extent_repaired	འཁོགས་ 0798; brüllen.
wts_1_34	328	70	0	ཅའ	la		former_fragment_or_gloss_alignment_removed	འྤའི་ཤིང་ཐོགས་མེད་ ཅའ sin thogs med Säla-
wts_1_34	328	70	1	འྤའི	sin		former_alignment_requires_review	འྤའི་ཤིང་ཐོགས་མེད་ ཅའ sin thogs med Säla-
wts_1_34	328	70	2	ཤིང	thogs		former_alignment_requires_review	འྤའི་ཤིང་ཐོགས་མེད་ ཅའ sin thogs med Säla-
wts_1_34	328	70	3	ཐོགས	med		former_alignment_requires_review	འྤའི་ཤིང་ཐོགས་མེད་ ཅའ sin thogs med Säla-
